,Time,Amplitude
120,0.0012000000000000001,(1.0223685826703655+0j)
121,0.0012100000000000001,(1.0277278930153542+0j)
122,0.0012200000000000002,(1.0324466499572464+0j)
123,0.0012300000000000002,(1.036488608300786+0j)
124,0.00124,(1.0398287258090024+0j)
125,0.00125,(1.042452989831135+0j)
126,0.00126,(1.0443580971673645+0j)
127,0.00127,(1.0455509985442404+0j)
128,0.00128,(1.0460483204429283+0j)
129,0.0012900000000000001,(1.0458756781475442+0j)
130,0.0013000000000000002,(1.045066894758547+0j)
131,0.0013100000000000002,(1.0436631415456452+0j)
132,0.0013200000000000002,(1.041712015398757+0j)
133,0.00133,(1.0392665692803646+0j)
134,0.00134,(1.0363843114972626+0j)
135,0.00135,(1.0331261893062433+0j)
136,0.00136,(1.0295555718611609+0j)
