,Frequency,Phase
99,49.6,-0.0016533600735543063
100,50.1,-0.0016700275570848953
101,50.6,-0.001686695057084395
102,51.1,-0.0017033625737171811
103,51.6,-0.0017200301071476332
104,52.1,-0.0017366976575401304
105,52.6,-0.0017533652250590504
106,53.1,-0.0017700328098687744
107,53.6,-0.001786700412133682
108,54.1,-0.0018033680320181545
109,54.6,-0.001820035669686572
110,55.1,-0.001836703325303318
111,55.6,-0.0018533709990327756
112,56.1,-0.0018700386910393257
113,56.6,-0.0018867064014873528
114,57.1,-0.0019033741305412412
115,57.6,-0.001920041878365376
116,58.1,-0.001936709645124143
117,58.6,-0.0019533774309819264
118,59.1,-0.001970045236103115
119,59.6,-0.0019867130606520934
120,60.1,-0.002003380904793252
121,60.6,-0.002020048768690978
122,61.1,-0.0020367166525096588
123,61.6,-0.0020533845564136865
124,62.1,-0.00207005248056745
125,62.6,-0.0020867204251353404
126,63.1,-0.002103388390281749
127,63.6,-0.002120056376171068
128,64.1,-0.0021367243829676905
129,64.6,-0.002153392410836009
130,65.1,-0.0021700604599404183
131,65.6,-0.0021867285304453137
132,66.1,-0.0022033966225150897
133,66.6,-0.0022200647363141415
134,67.1,-0.002236732872006867
135,67.6,-0.002253401029757663
136,68.1,-0.002270069209730929
137,68.6,-0.0022867374120910623
138,69.1,-0.002303405637002462
139,69.6,-0.00232007388462953
140,70.1,-0.0023367421551366654
141,70.6,-0.0023534104486882717
142,71.1,-0.0023700787654487485
143,71.6,-0.002386747105582501
144,72.1,-0.002403415469253932
145,72.6,-0.0024200838566274465
146,73.1,-0.0024367522678674495
147,73.6,-0.0024534207031383466
148,74.1,-0.002470089162604545
149,74.6,-0.002486757646430451
150,75.1,-0.002503426154780474
151,75.6,-0.002520094687819023
152,76.1,-0.0025367632457105067
153,76.6,-0.002553431828619337
154,77.1,-0.002570100436709923
155,77.6,-0.0025867690701466784
156,78.1,-0.002603437729094017
157,78.6,-0.0026201064137163503
158,79.1,-0.0026367751241780923
159,79.6,-0.0026534438606436606
160,80.1,-0.0026701126232774697
161,80.6,-0.002686781412243937
162,81.1,-0.00270345022770748
163,81.6,-0.002720119069832516
164,82.1,-0.002736787938783467
165,82.6,-0.0027534568347247494
166,83.1,-0.002770125757820788
167,83.6,-0.0027867947082360024
168,84.1,-0.0028034636861348143
169,84.6,-0.00282013269168165
170,85.1,-0.0028368017250409313
171,85.6,-0.0028534707863770853
172,86.1,-0.002870139875854538
173,86.6,-0.002886808993637714
174,87.1,-0.002903478139891044
175,87.6,-0.0029201473147789556
176,88.1,-0.0029368165184658784
177,88.6,-0.0029534857511162413
178,89.1,-0.0029701550128944784
179,89.6,-0.002986824303965021
180,90.1,-0.0030034936244923015
181,90.6,-0.003020162974640756
182,91.1,-0.0030368323545748176
183,91.6,-0.0030535017644589216
184,92.1,-0.003070171204457507
185,92.6,-0.0030868406747350113
186,93.1,-0.003103510175455873
187,93.6,-0.0031201797067845305
188,94.1,-0.003136849268885426
189,94.6,-0.003153518861923
190,95.1,-0.0031701884860616974
191,95.6,-0.0031868581414659595
192,96.1,-0.0032035278283002303
193,96.6,-0.0032201975467289565
194,97.1,-0.0032368672969165842
195,97.6,-0.003253537079027562
196,98.1,-0.0032702068932263374
197,98.6,-0.0032868767396773595
198,99.1,-0.003303546618545078
199,99.6,-0.0033202165299939463
200,100.1,-0.003336886474188416
201,100.6,-0.003353556451292941
202,101.1,-0.003370226461471975
203,101.6,-0.003386896504889972
204,102.1,-0.0034035665817113915
205,102.6,-0.0034202366921006894
206,103.1,-0.0034369068362223266
207,103.6,-0.003453577014240759
208,104.1,-0.0034702472263204494
209,104.6,-0.0034869174726258594
210,105.1,-0.0035035877533214524
211,105.6,-0.003520258068571692
212,106.1,-0.0035369284185410416
213,106.6,-0.003553598803393969
214,107.1,-0.0035702692232949407
215,107.6,-0.003586939678408425
216,108.1,-0.0036036101688988915
217,108.6,-0.0036202806949308104
218,109.1,-0.0036369512566686527
219,109.6,-0.003653621854276893
220,110.1,-0.0036702924879200003
221,110.6,-0.003686963157762456
222,111.1,-0.0037036338639687308
223,111.6,-0.003720304606703303
224,112.1,-0.003736975386130652
225,112.6,-0.0037536462024152575
226,113.1,-0.0037703170557215992
227,113.6,-0.0037869879462141564
228,114.1,-0.0038036588740574164
229,114.6,-0.003820329839415859
230,115.1,-0.003837000842453972
231,115.6,-0.003853671883336242
232,116.1,-0.0038703429622271544
233,116.6,-0.003887014079291199
234,117.1,-0.003903685234692864
235,117.6,-0.003920356428596643
236,118.1,-0.0039370276611670274
237,118.6,-0.00395369893256851
238,119.1,-0.003970370242965585
239,119.6,-0.003987041592522749
240,120.1,-0.004003712981404499
241,120.6,-0.0040203844097753344
242,121.1,-0.0040370558777997525
243,121.6,-0.004053727385642254
244,122.1,-0.004070398933467341
245,122.6,-0.004087070521439521
246,123.1,-0.0041037421497232916
247,123.6,-0.004120413818483162
248,124.1,-0.004137085527883641
249,124.6,-0.004153757278089233
250,125.1,-0.004170429069264449
251,125.6,-0.004187100901573802
252,126.1,-0.0042037727751817995
253,126.6,-0.0042204446902529575
254,127.1,-0.004237116646951791
255,127.6,-0.004253788645442814
256,128.1,-0.004270460685890546
257,128.6,-0.004287132768459503
258,129.1,-0.004303804893314205
259,129.6,-0.004320477060619175
260,130.1,-0.004337149270538934
261,130.6,-0.0043538215232380075
262,131.1,-0.0043704938188809175
263,131.6,-0.004387166157632193
264,132.1,-0.00440383853965636
265,132.6,-0.004420510965117948
266,133.1,-0.00443718343418149
267,133.6,-0.004453855947011513
268,134.1,-0.004470528503772552
269,134.6,-0.004487201104629143
270,135.1,-0.0045038737497458195
271,135.6,-0.004520546439287121
272,136.1,-0.004537219173417585
273,136.6,-0.004553891952301751
274,137.1,-0.004570564776104162
275,137.6,-0.004587237644989359
276,138.1,-0.004603910559121886
277,138.6,-0.004620583518666291
278,139.1,-0.004637256523787118
279,139.6,-0.0046539295746489155
280,140.1,-0.004670602671416236
281,140.6,-0.004687275814253629
282,141.1,-0.004703949003325647
283,141.6,-0.004720622238796845
284,142.1,-0.004737295520831776
285,142.6,-0.004753968849594999
286,143.1,-0.004770642225251075
287,143.6,-0.004787315647964558
288,144.1,-0.004803989117900013
289,144.6,-0.004820662635222003
290,145.1,-0.004837336200095091
291,145.6,-0.004854009812683843
292,146.1,-0.0048706834731528275
293,146.6,-0.00488735718166661
294,147.1,-0.004904030938389764
295,147.6,-0.004920704743486859
296,148.1,-0.00493737859712247
297,148.6,-0.00495405249946117
298,149.1,-0.0049707264506675345
299,149.6,-0.0049874004509061435
300,150.1,-0.005004074500341576
301,150.6,-0.005020748599138413
302,151.1,-0.005037422747461234
303,151.6,-0.005054096945474627
304,152.1,-0.005070771193343172
305,152.6,-0.00508744549123146
306,153.1,-0.00510411983930408
307,153.6,-0.005120794237725619
308,154.1,-0.00513746868666067
309,154.6,-0.005154143186273827
310,155.1,-0.005170817736729682
311,155.6,-0.005187492338192835
312,156.1,-0.005204166990827881
313,156.6,-0.0052208416947994215
314,157.1,-0.005237516450272056
315,157.6,-0.005254191257410388
316,158.1,-0.005270866116379022
317,158.6,-0.005287541027342562
318,159.1,-0.005304215990465617
319,159.6,-0.005320891005912795
320,160.1,-0.005337566073848708
321,160.6,-0.005354241194437969
322,161.1,-0.005370916367845189
323,161.6,-0.005387591594234987
324,162.1,-0.005404266873771978
325,162.6,-0.005420942206620781
326,163.1,-0.005437617592946019
327,163.6,-0.0054542930329123124
328,164.1,-0.005470968526684283
329,164.6,-0.005487644074426559
330,165.1,-0.005504319676303768
331,165.6,-0.005520995332480538
332,166.1,-0.0055376710431214995
333,166.6,-0.005554346808391283
334,167.1,-0.005571022628454525
335,167.6,-0.005587698503475859
336,168.1,-0.005604374433619928
337,168.6,-0.005621050419051363
338,169.1,-0.00563772645993481
339,169.6,-0.00565440255643491
340,170.1,-0.0056710787087163065
341,170.6,-0.00568775491694365
342,171.1,-0.005704431181281579
343,171.6,-0.005721107501894754
344,172.1,-0.005737783878947817
345,172.6,-0.005754460312605425
346,173.1,-0.005771136803032235
347,173.6,-0.005787813350392898
348,174.1,-0.005804489954852075
349,174.6,-0.005821166616574428
350,175.1,-0.0058378433357246145
351,175.6,-0.005854520112467303
352,176.1,-0.0058711969469671535
353,176.6,-0.005887873839388837
354,177.1,-0.005904550789897021
355,177.6,-0.005921227798656376
356,178.1,-0.005937904865831577
357,178.6,-0.0059545819915872945
358,179.1,-0.005971259176088206
359,179.6,-0.00598793641949899
360,180.1,-0.006004613721984327
361,180.6,-0.0060212910837089
362,181.1,-0.0060379685048373875
363,181.6,-0.006054645985534478
